T,Alt,Veloc,Filt_Alt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main,falt_m
15150,9008,800,8936.86,355.72,0,0,0,0,0,0,2723.954928
15200,9002,-120,8949.88,260.57,0,0,0,0,0,0,2727.923424
15250,9016,280,8963.11,264.45,0,0,0,0,0,0,2731.955928
15300,9018,40,8974.09,219.57,0,0,0,0,0,0,2735.302632
15350,9062,880,8991.67,351.66,0,0,0,0,0,0,2740.661016
15400,9040,-440,9001.33,193.32,0,0,0,0,0,0,2743.605384
15450,9036,-80,9008.27,138.65,0,0,0,0,0,0,2745.720696
15500,9030,-120,9012.61,86.93,0,0,0,0,0,0,2747.043528
15550,9116,1720,9033.29,413.54,0,0,0,0,0,0,2753.346792
15600,9160,880,9058.63,506.84,0,0,0,0,0,0,2761.070424
15650,9108,-1040,9068.51,197.46,0,0,0,0,0,0,2764.081848
15700,9142,680,9083.2,293.98,0,0,0,0,0,0,2768.55936
15750,9146,80,9095.76,251.17,0,0,0,0,0,0,2772.387648
15800,9194,960,9115.41,392.95,0,0,0,0,0,0,2778.376968
15850,9206,240,9133.53,362.36,0,0,0,0,0,0,2783.899944
15900,9234,560,9153.62,401.88,0,0,0,0,0,0,2790.023376
15950,9178,-1120,9158.5,97.5,0,0,0,0,0,0,2791.5108
16000,9214,720,9169.6,222.01,0,0,0,0,0,0,2794.89408
16050,9288,1480,9193.28,473.61,0,0,0,0,0,0,2802.111744
16100,9252,-720,9205.02,234.88,0,0,0,0,0,0,2805.690096
16150,9264,240,9216.82,235.9,0,0,0,0,0,0,2809.286736
16200,9276,240,9228.65,236.72,0,0,0,0,0,0,2812.89252
16250,9310,680,9244.92,325.39,0,0,0,0,0,0,2817.851616
16300,9342,640,9264.34,388.3,0,0,0,0,0,0,2823.770832
16350,9324,-360,9276.27,238.65,0,0,0,0,0,0,2827.407096
16400,9304,-400,9281.82,110.92,0,0,0,0,0,0,2829.098736
16450,9368,1280,9299.05,344.73,0,0,0,0,0,0,2834.35044
16500,9306,-1240,9300.44,27.79,0,0,0,0,0,0,2834.774112
16550,9426,2400,9325.55,502.23,0,0,0,0,0,0,2842.42764
16600,9480,1080,9356.44,617.77,0,0,0,0,0,0,2851.842912
16650,9468,-240,9378.75,446.23,0,0,0,0,0,0,2858.643
16700,9450,-360,9393,284.98,0,0,0,0,0,0,2862.9864
16750,9450,0,9404.4,227.99,0,0,0,0,0,0,2866.46112
16800,9448,-40,9413.12,174.39,0,0,0,0,0,0,2869.118976
16850,9442,-120,9418.9,115.51,0,0,0,0,0,0,2870.88072
16900,9518,1520,9438.72,396.41,0,0,0,0,0,0,2876.921856
16950,9470,-960,9444.97,125.12,0,0,0,0,0,0,2878.826856
17000,9514,880,9458.78,276.09,0,0,0,0,0,0,2883.036144
17050,9488,-520,9464.62,116.87,0,0,0,0,0,0,2884.816176
